순번,입력타입,입력주소,정제결과,전환결과,우편번호,X-좌표,Y-좌표,사용자필드
1,지번,"강원	강릉	옥계	남양	958",강원도 강릉시 옥계면 남양리 958,"강원도 강릉시 옥계면 남양1길 8-24, (남양리)",25646,129.011529,37.5719276,
2,지번,"강원	고성	토성	원암	산89-2",강원도 고성군 토성면 원암리 산89-2,,24768,128.502773,38.2057051,
3,지번,"강원	양양	양양	파일	",강원도 양양군 양양읍 화일리 산220,,25010,128.559295,38.1000769,
4,지번,"강원	삼척	도계	점	산83",강원도 삼척시 도계읍 점리 산83,,25946,129.014154,37.2541832,
5,지번,"강원	강릉	옥계	산계	산191",강원도 강릉시 옥계면 산계리 산191,,25645,128.986612,37.5951318,
6,지번,"경북	칠곡	지천	창평	산11외10필",경상북도 칠곡군 지천면 창평리 산11 외10필,"경상북도 칠곡군 지천면 창평로 415, 외10필, (창평리)",39863,128.500812,35.9998078,
7,지번,"강원	고성	간성	탑동	산19",강원도 고성군 간성읍 탑동리 산19,,24739,128.467967,38.3574544,
8,지번,"강원	인제	남	남전	503-2",강원도 인제군 남면 남전리 503-2,,24668,128.130899,38.0284928,
9,지번,"울산	울주	상북	향산	산304",울산광역시 울주군 상북면 향산리 산304,,44903,129.104244,35.5804534,
10,지번,"강원	강릉	성산	어흘	산293-1",강원도 강릉시 성산면 어흘리 산293-1,,25443,128.804265,37.7225222,
11,지번,"경남	함양	병곡	송평	산14-1",경상남도 함양군 병곡면 송평리 산14-1,,50027,127.68322,35.539768,
12,지번,"경북	포항	신광	흥곡	산103",경상북도 포항시 북구 신광면 흥곡리 산103,,37523,129.233356,36.0931448,
13,지번,"경북	고령	성산	삼대	산45",경상북도 고령군 성산면 삼대리 산45,,40117,128.376066,35.7404061,
14,지번,"경북	예천	호명	황지	산82 외",경상북도 예천군 호명면 황지리 산82 외,,36847,128.508219,36.6313946,
15,지번,"강원	고성	현내	명파	",강원도 고성군 현내면 명파리 산38-1,,24701,128.401331,38.5519664,
16,지번,"강원	속초	노학		산573-3",강원도 속초시 노학동 산573-3,,24868,128.561773,38.1843519,
17,지번,"경북	영덕	남정	회	산149 외 65",경상북도 영덕군 남정면 회리 산149,,36464,129.344707,36.2715995,
18,지번,"강원	양양	현남	주	산103",강원도 양양군 현남면 주리 산103,,25058,128.753946,37.9238094,
19,지번,"경북	울진	기성	정명	산78 외 45",경상북도 울진군 기성면 정명리 산78 외 45,,36349,129.435361,36.7888826,
20,지번,"강원	삼척	노곡	하마읍	산66외11필",강원도 삼척시 노곡면 하마읍리 산66 외11필,"강원도 삼척시 노곡면 하마읍안길 335, 외11필, (하마읍리)",25941,129.193163,37.2750655,
21,지번,"강원	강릉	옥계	산계	산119외80필",강원도 강릉시 옥계면 산계리 산119 외80필,"강원도 강릉시 옥계면 산계금단길 60, 외80필, (산계리)",25645,128.99304,37.5979873,
22,지번,"경남	산청	산청	모고	산49외 53필",경상남도 산청군 산청읍 모고리 산49 외 53필,,52211,127.903689,35.4321866,
23,지번,"경북	봉화	춘양	의양	산16-5",경상북도 봉화군 춘양면 의양리 산16-5,,36215,128.93067,36.9494046,
24,지번,"전북	남원	산동	목동	산130-1",전라북도 남원시 산동면 목동리 산130-1,"전라북도 남원시 산동면 요천로 2283, (목동리)",55725,127.434676,35.4584575,
25,지번,"강원	양양	현남	상월천	산92외 141필",강원도 양양군 현남면 상월천리 산92 외 141필,,25059,128.71612,37.9349786,
26,지번,"경북	상주	외서	예의	산148",경상북도 상주시 외서면 예의리 산148,,37133,128.016226,36.4673658,
27,지번,"부산	강서	지사		산48",부산광역시 강서구 지사동 산48,,46742,128.828717,35.1537191,
28,지번,"경북	상주	사벌	덕가	산108임",경상북도 상주시 사벌면 덕가리 산108,,37123,128.225787,36.5091298,
29,지번,"경북	영천	청통	죽정	산18",경상북도 영천시 청통면 죽정리 산18,,38869,128.832705,35.9724647,
30,지번,"전남	장성	동화	송계	산1외 28필지",전라남도 장성군 동화면 송계리 산1 외 28필지,,57243,126.711399,35.2147719,
31,지번,"경북	포항	남구	강사2	산97외10필",경상북도 포항시 남구 호미곶면 강사리 2 산97외10필,,37929,129.56225,36.0406432,
32,지번,"경북	포항	북	용흥	산122",경상북도 포항시 북구 용흥동 산122,,37689,129.34588,36.0427383,
33,지번,"강원	삼척	도계	황조	산106외34필",강원도 삼척시 도계읍 황조리 산106 외34필,"강원도 삼척시 도계읍 황조길 46, 외34필, (황조리)",25949,129.085209,37.2082428,
34,지번,"경남	김해	삼계		산25",경상남도 김해시 삼계동 산25,,50832,128.87794,35.2657586,
35,지번,"강원	삼척	미로	상사전	산1외 63필",강원도 삼척시 미로면 상사전리 산1 외 63필,,25903,129.068156,37.3989412,
36,지번,"경북	봉화	석포	석포	산35-1",경상북도 봉화군 석포면 석포리 산35-1,,36272,129.057981,37.0376562,
37,지번,"강원	화천	간동	도송	산51",강원도 화천군 간동면 도송리 산51,,24134,127.799389,38.0711562,
38,지번,"경북	예천	용문	상금곡	산16-3",경상북도 예천군 용문면 상금곡리 산16-3,,36835,128.415375,36.700616,
39,지번,"경북	안동	임하	금소	산65외15필",경상북도 안동시 임하면 금소리 산65 외15필,,36731,128.860502,36.5057186,
40,지번,"부산	기장	장안	기룡	산145",부산광역시 기장군 장안읍 기룡리 산145    ,,46028,129.224287,35.3604795,
41,지번,"부산	해운대	반송		산133",부산광역시 해운대구 반송동 산133,,48000,129.141961,35.2410898,
42,지번,"충북	충주	수안보	고운	산1외 1",충청북도 충주시 수안보면 고운리 산1 외 1,,27496,128.016678,36.8739319,
43,지번,"강원	삼척	가곡	오목	산17",강원도 삼척시 가곡면 오목리 산17,,25954,129.172433,37.1733614,
44,지번,"경기	여주	북내	중암	산98-1",경기도 여주시 북내면 중암리 산98-1,,12614,127.728676,37.3517923,
45,지번,"경북	포항	청하	신흥	산63",경상북도 포항시 북구 청하면 신흥리 산63,,37518,129.377285,36.1580481,
46,지번,"인천	옹진	연평	연평	산9-1",인천광역시 옹진군 연평면 연평리 산9-1,"인천광역시 옹진군 연평면 연평로 485, (연평리)",23107,125.703472,37.6659483,
47,지번,"강원	강릉	왕산	왕산	산89",강원도 강릉시 왕산면 왕산리 산89,,25641,128.794855,37.6492547,
48,지번,"경북	경주		동천동	산57외10필",경상북도 경주시 동천동 산57 외10필,,38101,129.249747,35.8444373,
49,지번,"강원	인제	기린	현	산217-1",강원도 인제군 기린면 현리 산217-1,"강원도 인제군 기린면 내린천로 4148-19, (현리)",24655,128.325443,37.9650056,
50,지번,"경북	영덕	지품	복곡	산11",경상북도 영덕군 지품면 복곡리 산11,,36442,129.206344,36.4750313,
51,지번,"경북	고령	쌍림	신곡	산25",경상북도 고령군 쌍림면 신곡리 산25,,40162,128.2539,35.6733478,
52,지번,"강원	홍천	화촌	군업	산269",강원도 홍천군 화촌면 군업리 산269,,25159,128.006162,37.7489117,
53,지번,"경북	울진	원남	갈면	산127",경상북도 울진군 매화면 갈면리 산127,,36344,129.360953,36.8665346,
54,지번,"전북	남원	이백	내동	산65-3",전라북도 남원시 이백면 내동리 산65-3,,55721,127.433337,35.4388139,
55,지번,"울산	북	시례		산116",울산광역시 북구 시례동 산116,,44212,129.334111,35.6025418,
56,지번,"경북	군위	우보	두북	산2-2",경상북도 군위군 우보면 두북리 산2-2,,39039,128.657344,36.2200128,
57,지번,"경북	김천	부항	신옥	산54",경상북도 김천시 부항면 신옥리 산54,,39689,127.996875,35.9684068,
58,지번,"경남	창녕	유어	풍조	산106",경상남도 창녕군 유어면 풍조리 산106,,50305,128.434933,35.5045526,
59,지번,"강원	고성	간성	금수	산32-2",강원도 고성군 간성읍 금수리 산32-2,,24738,128.464327,38.3675618,
60,지번,"강원	삼척	미로	하정	산57",강원도 삼척시 미로면 하정리 산57,,25905,129.114897,37.3870522,
61,지번,"전남	영광	묘량	월암	산210",전라남도 영광군 묘량면 월암리 산210,"전라남도 영광군 묘량면 황량로 495-36, (월암리)",57057,126.583134,35.2522257,
62,지번,"전남	곡성	죽곡	유봉	산6외 40",전라남도 곡성군 죽곡면 유봉리 산6 외 40,,57562,127.356931,35.1656095,
63,지번,"경북	영덕	축산	경정	산109-2",경상북도 영덕군 축산면 경정리 산109-2,,36422,129.422573,36.4758292,
64,지번,"전남	구례	토지	파도	산74-2",전라남도 구례군 토지면 파도리 산74-2,,57625,127.552449,35.1994442,
65,지번,"경남	함양	함양	신천	산12-1",경상남도 함양군 함양읍 신천리 산12-1,,50024,127.731106,35.5454091,
66,지번,"강원	홍천	북방	성동	산180",강원도 홍천군 북방면 성동리 산180,,25113,127.854021,37.7400922,
67,지번,"경북	성주	선남	도흥	산76",경상북도 성주군 선남면 도흥리 산76,,40044,128.370165,35.9144717,
68,지번,"충북	영동	양산	가선	산4",충청북도 영동군 양산면 가선리 산4,,29160,127.612362,36.1417858,
69,지번,"경남	김해	상동	우계	산215-1",경상남도 김해시 상동면 우계리 산215-1,,50805,128.888218,35.3109636,
70,지번,"경북	구미	산동	백현	산56 외",경상북도 구미시 산동면 백현리 산56 외,,39161,128.46666,36.2063254,
71,지번,"강원	양양	서	송천	산31-1",강원도 양양군 서면 송천리 산31-1,,25037,128.562238,38.0465464,
72,지번,"전북	임실	삼계	산수	산20",전라북도 임실군 삼계면 산수리 산20,,55946,127.289091,35.4807489,
73,지번,"울산	동		동부동	산191-2",울산광역시 동구 동부동 산191-2,,44015,129.434115,35.5425012,
74,지번,"전남	화순	도암	대초	산115",전라남도 화순군 도암면 대초리 산115,,58158,126.882987,34.9257947,
75,지번,"경남	양산	상북	대석	",경상남도 양산시 상북면 대석리 산54-1,,50562,129.067121,35.3968903,
76,지번,"울산	북	상안		산107",울산광역시 북구 상안동 산107,,44211,129.325018,35.6078085,
77,지번,"강원	철원	김화	학사	산100-5",강원도 철원군 김화읍 학사리 산100-5,,24054,127.409522,38.2603624,
78,지번,"강원	양양	양양	화일	산207외14필",강원도 양양군 양양읍 화일리 산207 외14필,,25010,128.551865,38.1039677,
79,지번,"강원	태백	동점		산17-5",강원도 태백시 동점동 산17-5,,26049,129.050997,37.0758675,
80,지번,"경북	고령	개진	구곡	산154외16필",경상북도 고령군 개진면 구곡리 산154 외16필,,40148,128.376306,35.7145032,
81,지번,"경북	구미	고아	대망	산27",경상북도 구미시 고아읍 대망리 산27,,39141,128.323482,36.1911059,
82,지번,"경북	봉화	재산	상	산135",경상북도 봉화군 재산면 상리 산135,,36259,128.940187,36.8433793,
